dateflg,timeflg,INFLOW_STRETCHER,Infl_Stretcher_cum,INFLOW_AMBULATORY,Infl_Ambulatory_cum,Inflow_Total,Inflow_Cum_Total,INFLOW_AMBULANCES,Infl_Ambulances_cum,FLS,CUM_ADMREQ,CUM_BA1,WAITINGADM,TTStr,TRG_HALLWAY1,TRG_HALLWAY_TBS,reoriented_cum,reoriented_cum_MD,QTRACK1,RESUS,Pod_T,POD_GREEN,POD_GREEN_TBS,POD_YELLOW,POD_YELLOW_TBS,POD_ORANGE,POD_ORANGE_TBS,POD_CONS_MORE2H,POD_IMCONS_MORE4H,POD_XRAY_MORE2H,POD_CT_MORE2H,POST_POD1,VERTSTRET,RAZ_TBS,RAZ_LAZYBOY,RAZ_WAITINGREZ,AMBVERT1,AMBVERTTBS,QTrack_TBS,Garage_TBS,RAZ_CONS_MORE2H,RAZ_IMCONS_MORE4H,RAZ_XRAY_MORE2H,RAZ_CT_MORE2H1,PSYCH1,PSYCH_WAITINGADM
04/01/20,24,3,59,0,48,3,107,3,37,0,25,25,7,25,0,0,14,11,0,3,19,6,0,9,0,4,1,1,0,2,0,0,0,0,0,1,0,0,,,0,0,0,0,3,0
04/01/20,23,3,56,0,48,3,104,2,34,0,22,25,4,23,0,0,14,11,0,3,17,7,0,7,0,3,0,1,1,2,0,0,0,0,0,1,0,0,,,0,1,0,0,3,0
04/01/20,22,4,53,1,48,5,101,2,32,1,21,23,5,26,0,0,14,11,0,4,20,9,0,8,2,3,0,1,1,2,0,0,0,0,0,0,1,0,,,0,1,0,0,2,0
04/01/20,21,4,49,0,47,4,96,1,30,0,21,23,5,21,0,0,14,11,0,3,14,7,0,6,0,1,0,2,0,1,0,0,1,0,1,2,0,0,,,0,1,0,0,3,0
04/01/20,20,3,45,1,47,4,92,2,29,0,19,20,6,21,0,0,14,11,0,2,14,7,0,6,0,1,0,2,0,1,1,0,2,0,2,2,0,0,,,0,0,0,0,3,0
04/01/20,19,0,42,1,46,1,88,0,27,0,18,20,5,24,0,0,14,11,0,3,16,7,0,6,0,3,0,3,0,1,1,0,2,0,2,4,0,0,,,1,0,0,0,3,0
04/01/20,18,2,42,0,45,2,87,2,27,1,17,19,7,26,0,0,13,11,0,4,16,9,0,6,0,1,0,5,0,1,1,0,3,0,2,4,3,0,,,0,0,0,0,3,1
04/01/20,17,2,40,6,45,8,85,2,25,0,17,18,8,26,0,0,13,9,0,3,17,8,0,7,0,2,0,6,0,1,1,0,3,0,1,6,5,0,,,0,0,0,0,3,1
04/01/20,16,2,38,7,39,9,77,2,23,0,16,18,7,36,0,0,11,8,0,4,22,7,0,10,0,5,0,9,0,2,1,0,7,0,5,6,6,5,,,1,0,0,0,3,1
04/01/20,15,3,36,7,32,10,68,3,21,0,15,17,7,40,0,0,11,6,0,3,28,8,1,13,0,7,0,5,0,3,2,0,7,0,5,3,4,2,,,2,0,0,0,2,1
04/01/20,14,3,33,8,25,11,58,2,18,1,14,17,6,34,0,0,8,4,0,3,23,7,0,10,1,6,0,1,0,1,1,0,5,0,3,3,5,2,,,1,0,0,0,3,2
04/01/20,13,2,30,3,17,5,47,2,16,0,13,15,7,31,0,0,6,4,0,4,21,6,1,8,0,7,1,2,1,2,1,0,3,0,0,3,4,4,,,0,0,0,0,3,2
04/01/20,12,6,28,2,14,8,42,1,14,0,10,12,8,26,0,0,4,3,0,5,17,5,1,6,1,6,0,3,1,0,0,0,2,0,0,2,2,2,,,0,0,0,0,2,2
04/01/20,11,5,22,1,12,6,34,2,13,0,10,13,7,25,0,0,3,3,0,5,16,4,0,6,0,6,0,3,1,0,1,0,2,1,0,2,1,0,,,0,0,0,0,2,2
04/01/20,10,4,17,1,11,5,28,2,11,0,9,10,9,20,0,0,3,2,0,4,14,4,0,7,0,3,0,4,1,0,1,0,0,0,0,3,3,1,,,0,0,0,0,2,2
04/01/20,9,3,13,4,10,7,23,3,9,0,8,11,7,24,0,0,3,2,0,4,18,5,0,9,0,4,0,2,0,0,2,0,0,0,0,0,2,2,,,0,0,0,0,2,2
04/01/20,8,0,10,2,6,2,16,0,6,1,8,11,7,24,0,0,1,0,0,3,19,4,0,10,0,5,0,2,0,0,2,0,0,0,0,0,1,0,,,0,0,0,0,2,2
04/01/20,7,0,10,2,4,2,14,0,6,0,7,11,6,26,0,0,1,0,0,3,21,5,0,11,0,5,0,1,0,0,2,0,0,0,0,0,0,0,,,0,1,0,0,2,2
04/01/20,6,1,10,1,2,2,12,0,6,0,7,9,8,28,0,0,0,0,0,4,22,6,0,11,0,5,0,0,0,0,3,0,0,0,0,0,0,0,,,0,0,0,1,2,2
04/01/20,5,1,9,0,1,1,10,0,6,0,6,9,7,29,0,0,0,0,0,4,23,7,0,12,0,4,0,0,0,0,3,0,0,0,0,0,0,0,,,0,0,0,3,2,2
04/01/20,4,1,8,0,1,1,9,0,6,0,4,6,8,31,0,0,0,0,0,4,25,8,0,14,0,3,0,1,1,1,0,0,0,0,0,0,0,0,,,0,0,0,2,2,2
04/01/20,3,1,7,0,1,1,8,1,6,0,2,3,9,31,0,0,0,0,1,4,25,10,0,12,0,3,0,2,1,0,1,0,0,0,0,0,0,0,,,0,0,0,2,2,2
04/01/20,2,2,6,0,1,2,7,2,5,0,2,3,9,34,0,0,0,0,0,5,27,11,0,13,1,3,0,2,0,0,1,0,0,0,0,0,1,1,,,0,0,0,2,2,2
04/01/20,1,4,4,1,1,5,5,3,3,0,2,1,11,33,0,0,0,0,0,4,27,11,0,14,0,2,1,1,0,1,1,0,0,0,0,1,1,1,,,0,0,0,2,2,2
03/31/20,24,2,65,1,34,3,99,0,34,2,25,21,9,32,0,0,7,8,0,4,26,11,0,13,1,2,1,1,0,1,1,0,0,0,0,1,0,0,,,0,0,0,2,2,2
03/31/20,23,4,63,0,33,4,96,2,34,1,24,21,8,31,0,0,7,6,0,4,23,10,0,11,1,2,1,1,0,1,1,0,2,0,2,1,2,0,,,1,0,0,1,2,2
03/31/20,22,1,59,2,33,3,92,0,32,0,23,20,8,31,0,0,7,6,0,3,24,10,0,12,1,2,0,1,0,0,0,0,2,0,2,1,2,1,,,1,0,1,1,2,2
03/31/20,21,5,58,3,31,8,89,4,32,2,23,20,9,30,0,0,7,5,0,4,22,11,1,10,1,1,0,1,0,0,1,0,2,0,2,1,0,0,,,1,0,1,1,2,2
