Date,Time,Stretcher Pts hrly,Stretcher Pts cum,Ambulatory Pts hrly,Ambulatory Pts cum,Total Inflow hrly,Total Inflow cum,Ambulances hrly,Ambulances cum,FLS hrly,Adm. requests cum,Admissions cum,Pts.waiting for admission CUM,Total Stretcher pts,Triage hallway pts,Triage hallway pts TBS,Re-Oriented Nurse cum,Re-Oriented MD QTrack D/C,Re-Oriented MD QTrack NotD/C,Resus Pts,Totalpts in PODs except Psych,Green Pts,Green Pts TBS,Yellow PTS,Yellow Pts TBS,Orancge Pts except psych,Orange Pts TBS,Consults > 2h in PODS except IM,Consult for IM >4h in PODS,Plain films reqs > 2 h in PODs,CTs reqs > 2 h in PODs,Post POD (Family room),Stretcher Pts in Vertical,Stretcher Pts TBS in Vertical,Stretcher Pts in Vertical on Lazyboy,Vertical Pts Waiting for Results,Ambulatory Pts in Vertical,Ambulatory Pts TBS in Vertical,QTrack Patients TBS,GARAGE patient TBS,Consults > 2h in Vertical Except IM,Consult for IM >4h in Vertical,Plain films reqs > 2 hr in Vertical,CTs reqs > 2 hrs in Vertical,Psych Stretcher Pts1pt,Psych pts waiting for admission
01/01/20,2,5,8,1,2,6,10,2,5,1,1,1,20,49,0,0,0,0,0,3,29,11,1,9,2,9,0,8,0,2,1,0,10,5,3,2,2,2,,,3,0,0,1,7,4
01/01/20,3,7,15,2,4,9,19,2,7,1,1,1,20,48,0,0,0,0,0,3,28,12,0,8,0,8,0,8,0,2,1,0,10,6,3,1,5,5,,,1,0,0,1,7,4
01/01/20,4,6,21,0,4,6,25,5,12,0,2,1,21,48,0,0,0,0,0,5,30,13,0,9,3,8,0,8,0,2,1,0,6,1,3,3,7,7,,,2,0,0,1,7,4
01/01/20,5,2,23,1,5,3,28,0,12,0,3,2,21,53,0,0,0,0,0,2,32,15,1,9,1,8,0,8,0,0,0,0,10,6,3,2,1,1,,,2,0,0,0,9,4
01/01/20,6,1,24,1,6,2,30,1,13,0,3,2,21,53,0,0,0,0,0,2,33,15,3,10,0,8,0,8,0,0,0,0,9,3,4,2,0,0,,,2,0,0,0,9,4
01/01/20,7,2,26,1,7,3,33,2,15,0,4,2,22,51,0,0,0,0,0,2,29,12,0,9,0,8,0,9,0,0,0,0,9,2,4,3,1,1,,,3,0,0,1,11,4
01/01/20,8,8,34,3,10,11,44,2,17,0,4,2,22,46,0,0,0,0,0,2,26,10,1,7,0,9,0,10,0,0,0,0,7,0,5,3,5,5,,,3,0,0,0,11,4
01/01/20,9,5,39,6,16,11,55,3,20,0,4,2,22,49,0,0,0,0,0,2,26,9,0,9,2,8,1,11,0,0,0,0,9,2,5,5,9,7,,,4,0,0,0,12,4
01/01/20,10,8,47,7,23,15,70,1,21,0,4,2,22,52,0,0,1,0,1,3,29,10,0,9,0,10,0,11,0,0,0,0,7,0,5,5,10,6,,,5,0,0,0,13,4
01/01/20,11,6,53,6,29,12,82,5,26,0,6,2,24,58,0,0,2,0,1,3,32,12,1,11,1,9,0,7,0,1,0,0,10,0,5,11,6,2,,,4,0,0,0,13,4
01/01/20,12,4,57,8,37,12,94,2,28,1,7,2,24,56,0,0,3,0,1,2,33,14,2,10,0,9,0,6,0,1,1,0,8,0,5,10,8,3,,,2,0,0,0,13,4
01/01/20,13,7,64,3,40,10,104,1,29,0,7,3,24,61,0,0,3,0,1,3,35,14,0,11,1,10,0,4,0,1,0,0,11,3,4,13,9,7,,,3,0,0,0,12,4
01/01/20,14,8,72,4,44,12,116,4,33,0,8,5,23,66,0,0,3,1,0,3,39,16,1,11,1,12,1,5,0,0,0,0,12,1,4,12,9,6,,,4,0,0,0,12,5
01/01/20,15,10,82,7,51,17,133,2,35,0,8,6,22,71,0,0,3,1,0,4,41,16,1,11,2,14,1,5,0,0,0,0,14,4,6,11,12,6,,,5,0,0,0,12,5
01/01/20,16,4,86,11,62,15,148,1,36,1,10,6,22,70,0,0,3,1,0,3,39,15,0,11,2,13,0,6,0,1,0,0,16,4,8,13,13,12,,,4,0,0,0,12,5
01/01/20,17,0,86,2,64,2,150,0,36,0,13,12,19,66,0,0,3,1,0,3,38,15,0,10,0,13,0,4,0,7,2,0,13,1,5,10,13,8,,,4,0,0,0,12,5
01/01/20,18,8,94,5,69,13,163,4,40,0,14,15,17,67,0,0,3,1,0,5,37,16,0,10,2,11,0,9,0,4,2,0,12,0,5,15,16,9,,,3,0,1,4,13,5
01/01/20,19,6,100,4,73,10,173,3,43,0,18,15,21,64,0,0,3,1,0,5,37,15,1,11,1,11,0,5,1,0,1,0,10,4,5,7,12,7,,,3,0,1,4,12,5
01/01/20,20,3,103,5,78,8,181,2,45,0,20,16,21,62,0,0,4,1,0,2,37,14,1,12,0,11,0,5,1,0,1,0,11,0,7,7,11,8,,,1,0,1,2,12,5
01/01/20,21,4,107,3,81,7,188,4,49,1,23,17,23,65,0,0,4,1,0,4,38,13,1,12,0,13,0,3,0,0,1,0,12,0,8,7,7,3,,,1,0,2,0,11,4
01/01/20,22,1,108,4,85,5,193,0,49,0,24,17,24,62,0,0,4,1,0,3,37,11,0,12,0,14,0,5,0,1,1,0,11,0,7,8,10,5,,,1,0,1,0,11,4
01/01/20,23,5,113,4,89,9,202,0,49,1,29,20,26,63,0,0,4,1,0,3,36,10,0,13,0,13,0,5,0,1,1,0,13,3,6,8,9,5,,,0,0,1,0,11,7
01/01/20,1,3,3,1,1,4,4,3,3,0,0,1,19,49,1,0,0,0,0,2,31,12,2,10,0,9,0,7,1,2,1,0,9,3,3,3,2,2,,,2,0,0,1,6,4
01/01/20,24,6,119,0,89,6,208,2,51,1,31,22,26,61,0,0,4,1,1,2,38,11,0,14,2,13,0,7,0,1,1,0,10,1,5,6,6,5,,,0,0,1,0,11,7
01/01/21,3,0,3,1,3,1,6,0,1,0,2,4,16,40,0,0,0,0,0,4,30,11,0,11,0,8,1,10,1,6,2,0,3,0,2,1,2,1,,,0,0,0,0,3,3
01/01/21,2,2,3,1,2,3,5,1,1,0,2,4,16,43,0,0,0,0,0,4,31,11,0,12,0,8,1,10,1,5,2,0,5,0,3,2,2,2,,,1,1,0,0,3,3
