dateflg,timeflg,INFLOW_STRETCHER,Infl_Stretcher_cum,INFLOW_AMBULATORY,Infl_Ambulatory_cum,Inflow_Total,Inflow_Cum_Total,INFLOW_AMBULANCES,Infl_Ambulances_cum,FLS,CUM_ADMREQ,CUM_BA1,WAITINGADM,TTStr,TRG_HALLWAY1,TRG_HALLWAY_TBS,reoriented_cum,reoriented_cum_MD,QTRACK1,RESUS,Pod_T,POD_GREEN,POD_GREEN_TBS,POD_YELLOW,POD_YELLOW_TBS,POD_ORANGE,POD_ORANGE_TBS,POD_CONS_MORE2H,POD_IMCONS_MORE4H,POD_XRAY_MORE2H,POD_CT_MORE2H,POST_POD1,VERTSTRET,RAZ_TBS,RAZ_LAZYBOY,RAZ_WAITINGREZ,AMBVERT1,AMBVERTTBS,QTrack_TBS,Garage_TBS,RAZ_CONS_MORE2H,RAZ_IMCONS_MORE4H,RAZ_XRAY_MORE2H,RAZ_CT_MORE2H1,PSYCH1,PSYCH_WAITINGADM
09/01/21,24,3,147,4,113,7,260,1,39,0,37,37,11,87,2,0,10,8,0,4,51,17,2,18,0,16,2,6,0,0,5,0,22,7,8,6,9,8,0,3,1,0,0,0,8,3
09/01/21,23,2,144,5,109,7,253,1,38,0,35,36,11,87,0,0,10,8,0,4,51,17,2,18,3,16,2,5,0,0,4,0,24,9,7,7,10,5,0,0,1,0,2,0,8,3
09/01/21,22,7,142,4,104,11,246,1,37,0,32,32,12,88,0,0,9,8,1,4,52,18,5,17,2,17,0,4,0,0,3,0,26,10,6,10,15,9,0,1,1,0,2,1,6,2
09/01/21,21,10,135,3,100,13,235,3,36,0,31,31,12,89,0,0,9,8,0,3,52,18,5,18,2,16,1,6,0,0,1,0,29,10,6,10,17,15,0,1,1,0,2,0,5,2
09/01/21,20,13,125,2,97,15,222,3,33,0,27,29,10,82,0,0,9,8,0,5,50,19,5,16,3,15,1,8,0,0,1,0,20,4,8,11,24,21,0,0,4,0,2,1,7,1
09/01/21,19,8,112,4,95,12,207,2,30,0,28,25,14,86,0,0,8,8,1,5,52,18,4,17,3,17,1,4,0,0,1,0,21,5,8,11,19,18,0,0,6,0,1,3,8,1
09/01/21,18,4,104,10,91,14,195,2,28,1,25,23,14,87,0,0,8,8,3,4,52,19,2,17,4,16,2,6,0,0,2,0,23,7,8,11,21,16,0,2,10,0,2,4,8,1
09/01/21,17,4,100,3,81,7,181,0,26,0,22,16,18,89,0,0,8,8,6,4,51,20,4,16,3,15,1,6,0,0,1,1,24,9,7,11,18,12,2,0,6,0,1,2,9,1
09/01/21,16,10,96,10,78,20,174,4,26,1,21,13,20,94,1,1,8,7,7,4,53,20,6,18,4,15,0,8,0,1,3,0,26,9,7,10,16,14,3,0,4,0,1,2,10,1
09/01/21,15,16,86,5,68,21,154,3,22,0,21,12,22,86,0,0,7,7,4,3,48,17,5,15,2,16,1,6,0,1,1,0,24,5,8,11,17,12,2,0,3,0,1,0,11,1
09/01/21,14,7,70,7,63,14,133,2,19,0,14,11,16,80,0,0,7,5,6,4,42,13,2,15,3,14,0,11,0,2,6,0,24,7,8,8,14,12,5,0,3,0,0,1,10,2
09/01/21,13,12,63,10,56,22,119,2,17,0,12,9,16,70,0,0,6,1,7,3,43,15,5,15,5,13,0,17,0,2,4,0,16,1,10,7,21,15,4,0,5,0,0,2,8,2
09/01/21,12,12,51,10,46,22,97,5,15,0,11,9,16,58,0,0,6,1,4,2,35,11,1,10,0,14,0,16,0,2,3,0,13,1,11,9,16,11,3,1,2,0,0,0,8,3
09/01/21,11,6,39,13,36,19,75,2,10,0,11,9,17,55,0,0,4,0,3,2,35,9,0,10,0,16,0,14,0,2,1,0,13,0,11,8,18,11,3,0,0,0,0,0,5,4
09/01/21,10,11,33,8,23,19,56,5,8,0,10,6,19,60,0,0,4,0,0,1,32,8,0,10,1,14,0,14,0,1,1,0,19,2,10,7,11,8,0,3,1,0,0,0,8,4
09/01/21,9,8,22,7,15,15,37,0,3,0,10,6,20,59,0,0,3,0,0,1,26,6,0,9,1,11,0,11,0,0,1,0,23,7,10,2,5,5,0,1,0,0,0,0,9,5
09/01/21,8,6,14,0,8,6,22,0,3,0,8,5,19,59,0,0,3,0,0,2,27,8,0,8,0,11,0,10,0,0,1,0,21,8,10,3,2,2,0,0,0,0,0,0,9,5
09/01/21,7,4,8,3,8,7,16,0,3,0,8,5,19,54,0,0,3,0,0,2,27,8,0,8,0,11,0,9,0,3,1,0,17,3,10,4,3,2,0,0,0,0,0,0,8,5
09/01/21,6,2,4,0,5,2,9,1,3,0,8,4,20,51,0,0,2,0,0,2,27,8,0,8,0,11,1,8,0,0,0,0,14,0,10,7,4,1,0,0,0,0,0,0,8,5
09/01/21,5,0,2,0,5,0,7,0,2,0,8,4,20,49,0,0,2,0,0,2,27,8,0,8,0,11,0,7,0,0,0,0,12,1,9,7,6,4,0,0,1,0,0,1,8,5
