dateflg,timeflg,INFLOW_STRETCHER,Infl_Stretcher_cum,INFLOW_AMBULATORY,Infl_Ambulatory_cum,Inflow_Total,Inflow_Cum_Total,INFLOW_AMBULANCES,Infl_Ambulances_cum,FLS,CUM_ADMREQ,CUM_BA1,WAITINGADM,TTStr,TRG_HALLWAY1,TRG_HALLWAY_TBS,reoriented_cum,reoriented_cum_MD,QTRACK1,RESUS,Pod_T,POD_GREEN,POD_GREEN_TBS,POD_YELLOW,POD_YELLOW_TBS,POD_ORANGE,POD_ORANGE_TBS,POD_CONS_MORE2H,POD_IMCONS_MORE4H,POD_XRAY_MORE2H,POD_CT_MORE2H,POST_POD1,VERTSTRET,RAZ_TBS,RAZ_LAZYBOY,RAZ_WAITINGREZ,AMBVERT1,AMBVERTTBS,QTrack_TBS,Garage_TBS,RAZ_CONS_MORE2H,RAZ_IMCONS_MORE4H,RAZ_XRAY_MORE2H,RAZ_CT_MORE2H1,PSYCH1,PSYCH_WAITINGADM
01/09/22,13,8,41,1,17,9,58,3,11,1,12,12,9,50,0,0,1,0,0,4,33,11,0,12,2,10,0,6,1,2,0,0,8,0,3,5,5,0,0,1,1,0,1,2,5,1
01/09/22,12,5,33,4,16,9,49,1,8,0,9,10,8,48,0,0,1,0,0,5,30,10,1,9,0,11,0,9,0,2,0,0,8,0,3,7,5,3,0,2,3,0,1,2,5,1
01/09/22,11,7,28,1,12,8,40,1,7,1,7,8,9,51,0,0,1,0,0,6,32,11,0,11,1,10,0,14,0,0,0,0,8,0,3,5,2,0,0,0,3,0,2,2,5,1
01/09/22,10,3,21,0,11,3,32,2,6,0,6,7,9,49,0,0,1,0,0,5,31,12,0,10,0,9,0,10,0,0,0,0,7,0,5,4,1,1,0,1,3,0,2,2,6,1
01/09/22,9,3,18,5,11,8,29,0,4,0,5,8,7,48,0,0,1,0,0,5,31,12,0,10,1,9,0,11,0,0,1,0,6,1,5,0,5,2,0,2,5,1,2,3,6,1
01/09/22,8,1,15,1,6,2,21,0,4,1,5,8,7,47,0,0,1,0,0,6,31,12,0,10,1,9,0,9,0,3,1,0,4,0,4,2,2,2,0,1,6,1,3,3,6,1
01/09/22,7,3,14,1,5,4,19,1,4,0,4,7,7,51,0,0,0,0,0,5,32,12,0,11,1,9,0,9,0,3,1,1,7,0,7,2,2,2,0,1,6,1,3,4,6,1
01/09/22,6,4,11,0,4,4,15,1,3,0,4,7,7,52,0,0,0,0,0,4,32,12,1,11,0,9,1,11,0,0,0,1,9,0,9,2,1,1,0,0,4,1,2,4,6,1
01/09/22,5,0,7,0,4,0,11,0,2,0,3,7,6,53,0,0,0,0,0,4,34,14,0,11,0,9,0,11,0,0,1,0,9,0,9,2,0,0,0,0,4,1,2,3,6,1
01/09/22,4,1,7,0,4,1,11,0,2,0,3,6,7,55,0,0,0,0,0,5,36,14,1,12,1,10,0,13,0,0,1,0,8,0,8,0,2,0,0,2,4,1,1,3,6,1
01/09/22,3,2,6,2,4,4,10,1,2,1,3,5,8,54,0,0,0,0,0,5,34,13,0,11,1,10,0,14,0,0,1,0,9,0,8,2,4,2,0,2,4,1,1,1,6,1
01/09/22,2,1,4,1,2,2,6,0,1,0,1,5,6,56,0,0,0,0,0,4,36,14,1,12,1,10,0,14,0,2,3,0,10,0,9,3,3,1,0,1,2,1,1,2,6,1
01/09/22,1,3,3,1,1,4,4,1,1,0,0,3,7,59,0,0,0,0,0,5,37,15,1,12,1,10,0,9,0,1,1,1,10,0,9,1,7,3,0,1,3,1,1,3,6,1
01/08/22,24,3,89,1,79,4,168,1,42,0,33,31,10,54,0,0,4,1,0,4,35,13,1,12,0,10,0,7,0,1,1,0,9,0,8,2,5,4,0,2,3,0,1,0,6,1
01/08/22,23,5,86,3,78,8,164,1,41,1,31,29,10,58,0,0,4,1,0,3,37,14,3,12,0,11,0,7,0,1,1,0,11,2,8,2,6,5,0,1,1,0,1,0,7,1
01/08/22,22,5,81,4,75,9,156,3,40,0,30,28,10,62,0,0,4,1,0,2,40,13,1,11,1,16,2,7,0,1,1,0,14,1,9,5,6,4,0,3,2,0,0,0,6,1
01/08/22,21,4,76,1,71,5,147,1,37,0,27,26,10,56,0,0,4,1,1,3,35,12,1,9,0,14,1,11,0,0,2,0,14,1,9,4,6,2,0,3,1,0,0,1,4,0
01/08/22,20,4,72,4,70,8,142,4,36,1,25,25,8,58,0,0,4,1,1,4,40,15,2,12,1,13,0,7,0,0,2,0,11,0,8,4,7,1,1,2,2,0,0,0,3,0
01/08/22,19,1,68,4,66,5,134,0,32,0,25,24,10,59,0,0,4,1,0,3,40,15,0,12,2,13,0,7,0,0,0,0,13,2,9,2,9,4,0,3,1,0,0,0,3,0
01/08/22,18,9,67,3,62,12,129,6,32,0,21,24,6,63,1,1,3,1,0,3,46,17,0,15,3,14,1,10,0,2,1,1,9,1,5,7,8,4,0,5,1,0,0,0,3,0
01/08/22,17,7,58,4,59,11,117,4,26,0,20,22,7,65,0,0,3,0,0,5,45,16,1,15,2,14,0,6,2,1,4,0,12,3,6,7,10,6,0,5,1,0,0,1,3,0
01/08/22,16,5,51,5,55,10,106,2,22,0,19,18,10,65,0,0,3,0,0,4,47,17,0,14,0,16,2,8,1,1,4,0,12,2,7,6,15,12,0,4,2,0,0,2,2,0
01/08/22,15,5,46,8,50,13,96,2,20,2,18,17,9,66,0,0,3,0,0,4,49,19,2,15,0,15,0,8,1,1,3,0,11,1,7,4,12,7,0,1,2,0,0,1,2,1
01/08/22,14,6,41,7,42,13,83,4,18,0,16,16,9,63,0,0,3,0,0,5,46,17,1,14,0,15,0,13,0,2,1,0,10,1,7,2,11,6,0,5,2,0,0,3,2,1
01/08/22,13,9,35,4,35,13,70,2,14,0,15,15,9,66,0,0,3,0,0,3,48,19,1,13,0,16,2,15,1,0,2,0,13,3,7,4,9,5,0,2,3,0,0,2,2,1
01/08/22,12,5,26,8,31,13,57,2,12,0,15,13,11,61,0,0,3,0,0,3,44,16,0,13,0,15,0,20,1,1,1,0,12,0,9,5,10,4,0,0,2,0,0,1,2,1
01/08/22,11,2,21,8,23,10,44,0,10,0,14,9,14,61,1,1,3,0,0,3,43,17,1,12,0,14,0,25,0,1,3,0,12,0,10,2,7,2,0,0,2,0,0,0,2,1
01/08/22,10,1,19,7,15,8,34,2,10,1,12,9,12,60,0,0,1,0,0,3,42,16,0,12,0,14,0,16,0,1,1,0,12,0,9,2,4,2,0,0,3,0,0,0,3,1
01/08/22,9,3,18,3,8,6,26,0,8,0,10,9,10,59,0,0,0,0,0,4,42,15,0,13,0,14,1,14,2,3,4,0,10,0,6,2,2,0,0,2,3,0,0,0,3,1
01/08/22,8,4,15,1,5,5,20,1,8,0,10,7,12,55,0,0,0,0,0,4,41,15,1,13,0,13,0,16,0,3,10,0,7,0,7,0,7,6,0,1,3,0,0,1,3,1
01/08/22,7,3,11,1,4,4,15,1,7,0,10,7,12,54,0,0,0,0,0,4,40,14,0,14,0,12,0,15,0,3,8,0,7,0,7,0,5,4,0,0,3,0,0,1,3,1
01/08/22,6,0,8,1,3,1,11,0,6,0,10,7,12,55,0,0,0,0,0,4,41,15,0,15,0,11,0,14,0,3,5,0,7,0,7,0,2,2,0,1,3,0,1,1,3,1
01/08/22,5,2,8,1,2,3,10,2,6,0,7,7,9,56,0,0,0,0,0,4,41,16,0,14,1,11,0,15,0,4,4,0,8,0,8,0,2,1,0,0,3,0,1,1,3,1
01/08/22,4,0,6,0,1,0,7,0,4,0,7,7,9,58,0,0,0,0,0,4,42,17,0,13,0,12,1,15,0,6,5,0,9,0,8,1,2,2,0,0,3,0,1,2,3,1
01/08/22,3,3,6,1,1,4,7,3,4,0,7,5,11,61,0,0,0,0,0,4,43,17,0,14,0,12,2,14,0,6,5,2,9,0,8,1,2,2,0,0,3,0,1,2,3,1
01/08/22,2,1,3,0,0,1,3,0,1,0,5,3,11,64,0,0,0,0,0,4,43,17,0,16,1,10,0,7,0,6,4,2,11,0,9,1,0,0,0,0,3,0,0,2,4,1
01/08/22,1,2,2,0,0,2,2,1,1,0,2,0,11,61,0,0,0,0,0,4,45,18,0,16,0,11,0,6,0,5,5,0,8,0,8,0,1,0,0,1,1,0,0,3,4,1
01/07/22,24,2,110,1,92,3,202,0,36,1,39,40,9,64,0,0,9,4,0,3,49,19,0,16,1,14,0,4,0,2,1,0,8,0,7,0,4,2,0,2,0,0,0,2,4,0
01/07/22,23,1,108,2,91,3,199,0,36,0,36,40,6,69,1,1,9,4,0,4,47,19,0,14,2,14,1,3,0,1,1,0,12,1,9,0,5,2,0,0,1,1,0,1,5,0
01/07/22,22,4,107,1,89,5,196,1,36,0,36,41,5,76,4,4,9,4,0,5,45,19,3,12,2,14,1,5,0,2,1,0,16,3,8,3,4,2,0,0,0,0,0,0,6,1
01/07/22,21,5,103,2,88,7,191,1,35,0,34,39,5,81,6,5,8,4,2,5,47,18,1,13,1,16,1,9,0,2,4,0,18,3,7,7,6,3,0,2,0,0,0,0,5,1
01/07/22,20,3,98,4,86,7,184,2,34,1,31,30,12,82,9,7,8,4,1,6,51,19,0,13,2,19,2,9,0,2,4,0,11,2,4,5,10,5,1,4,2,0,0,0,5,0
01/07/22,19,7,95,5,82,12,177,2,32,1,27,29,11,85,13,13,7,4,0,6,49,18,1,15,2,16,1,7,0,3,5,0,11,3,6,4,9,4,0,6,3,0,0,2,6,0
01/07/22,18,10,88,4,77,14,165,3,30,1,25,25,14,85,12,12,7,4,0,5,51,19,2,14,0,18,4,10,0,4,8,0,11,2,1,9,7,5,0,6,1,0,0,1,6,0
01/07/22,17,11,78,5,73,16,151,4,27,1,25,23,17,83,7,7,7,4,0,5,52,18,3,14,0,20,3,10,0,3,7,0,15,2,5,11,10,6,0,4,2,0,0,3,4,0
01/07/22,16,5,67,5,68,10,135,3,23,0,24,22,18,80,3,3,6,4,0,6,51,19,2,13,0,19,1,8,0,2,8,0,18,6,7,7,13,11,0,5,3,0,2,3,2,0
01/07/22,15,6,62,5,63,11,125,4,20,0,21,18,19,77,3,2,6,3,0,5,51,18,1,15,1,18,0,11,0,2,8,0,17,3,8,7,16,13,0,5,5,0,2,4,1,0
01/07/22,14,4,56,8,58,12,114,2,16,0,21,18,19,77,5,4,6,3,0,6,48,17,2,14,0,17,0,13,0,2,7,0,17,2,8,8,12,10,0,4,2,0,1,1,1,0
01/07/22,13,11,52,6,50,17,102,4,14,0,20,19,17,82,4,3,5,3,0,4,53,17,1,18,1,18,1,10,1,1,2,0,20,4,9,9,11,7,0,5,3,0,0,0,1,0
01/07/22,12,10,41,7,44,17,85,3,10,0,19,17,18,69,1,0,5,3,0,4,50,15,2,16,0,19,0,10,1,0,1,0,13,1,8,8,15,11,0,3,2,0,0,0,1,0
01/07/22,11,6,31,8,37,14,68,0,7,1,17,14,19,66,0,0,5,3,0,4,47,15,0,16,2,16,0,11,1,0,1,0,14,2,7,8,9,7,0,1,5,0,0,0,1,0
01/07/22,10,6,25,2,29,8,54,1,7,1,13,11,20,62,0,0,3,0,0,5,43,13,0,13,0,17,0,13,0,5,1,0,12,3,6,5,8,4,0,3,2,0,0,0,2,1
01/07/22,9,7,19,8,27,15,46,0,6,0,13,11,19,62,0,0,2,0,0,4,44,14,0,14,0,16,0,13,0,0,0,0,12,5,5,4,9,5,0,4,0,0,0,0,2,1
01/07/22,8,3,12,3,19,6,31,1,6,0,13,8,22,58,0,0,1,0,0,6,45,14,0,14,1,17,0,13,0,0,0,0,5,0,4,2,13,13,0,5,1,0,0,0,2,1
01/07/22,7,2,9,6,16,8,25,1,5,0,9,8,18,56,0,0,1,0,0,5,44,14,0,13,0,17,0,12,0,1,0,0,5,0,4,1,14,12,0,4,3,1,0,0,2,1
01/07/22,6,3,7,3,10,6,17,2,4,1,7,6,18,61,0,0,1,0,0,5,49,18,0,14,0,17,0,12,1,1,0,0,5,0,3,3,8,6,0,3,3,1,0,0,2,1
01/07/22,5,1,4,2,7,3,11,0,2,0,6,5,18,61,0,0,1,0,0,6,49,18,0,15,0,16,0,11,1,0,1,0,4,0,3,3,6,4,0,0,3,2,0,2,2,1
01/07/22,4,0,3,1,5,1,8,0,2,0,4,4,17,63,0,0,1,0,0,5,51,18,0,16,0,17,1,11,2,0,0,0,5,0,4,1,6,5,0,1,2,1,0,0,2,1
01/07/22,3,2,3,0,4,2,7,0,2,0,3,3,18,64,0,0,0,0,0,5,52,18,0,16,1,18,1,9,3,1,2,0,5,1,3,1,6,6,0,3,2,0,0,0,2,1
01/07/22,2,0,1,2,4,2,5,0,2,0,1,3,16,64,0,0,0,0,0,5,52,19,0,16,1,17,1,7,4,6,5,0,5,1,3,2,5,5,0,3,2,0,0,0,2,0
01/07/22,1,1,1,2,2,3,3,2,2,0,1,0,19,68,1,0,0,0,0,5,50,18,0,17,1,15,2,3,4,3,4,0,10,3,4,4,9,9,0,2,1,0,1,1,2,0
01/06/22,24,3,109,1,100,4,209,1,37,1,56,42,18,72,0,0,19,12,0,5,52,17,3,18,1,17,2,7,3,2,1,0,13,3,3,7,8,7,0,1,1,0,0,1,2,0
01/06/22,23,2,106,2,99,4,205,1,36,0,54,42,16,73,0,0,19,12,0,5,53,17,3,18,1,18,3,5,2,0,1,0,14,4,6,2,8,8,0,1,3,0,0,0,1,0
01/06/22,22,5,104,5,97,10,201,3,35,0,51,41,14,84,7,7,18,12,0,5,49,16,3,16,1,17,1,4,2,0,1,0,20,4,7,7,7,6,0,6,2,0,0,2,3,1
01/06/22,21,8,99,2,92,10,191,2,32,1,48,35,17,86,6,6,18,12,0,6,50,16,2,17,2,17,0,4,1,0,3,0,19,5,7,8,14,11,0,2,2,0,0,2,5,2
01/06/22,20,6,91,6,90,12,181,3,30,0,45,33,17,85,5,4,18,12,0,5,50,17,1,17,1,16,0,3,2,2,5,0,21,8,8,11,13,8,0,2,3,0,0,3,4,2
01/06/22,19,5,85,4,84,9,169,1,27,0,45,30,21,92,4,4,18,12,0,5,52,19,3,17,0,16,1,5,1,1,7,1,26,8,11,10,9,6,0,2,2,0,0,3,4,2
01/06/22,18,9,80,4,80,13,160,3,26,2,40,25,21,88,5,5,17,12,0,5,52,18,1,17,0,17,0,9,3,0,5,1,22,6,11,8,10,6,0,8,3,0,0,2,3,1
01/06/22,17,8,71,8,76,16,147,3,23,2,37,23,20,89,4,3,16,12,0,6,50,18,2,15,1,17,1,9,4,3,4,3,24,6,9,10,12,9,0,7,5,0,0,4,2,1
01/06/22,16,8,63,4,68,12,131,2,20,0,34,21,20,87,6,5,15,12,0,4,53,21,2,16,2,16,3,6,4,4,3,3,19,5,7,12,9,8,0,7,6,0,1,4,2,1
01/06/22,15,9,55,9,64,18,119,5,18,0,32,19,22,83,2,0,13,9,0,4,52,20,1,16,1,16,3,7,4,5,6,3,19,6,10,10,11,9,0,10,6,2,3,4,3,2
01/06/22,14,7,46,7,55,14,101,1,13,0,29,17,22,78,3,0,12,7,0,5,49,20,2,15,1,14,4,5,3,1,4,3,15,2,10,12,12,10,0,6,6,2,3,1,3,1
01/06/22,13,7,39,6,48,13,87,1,12,0,27,13,24,79,3,0,12,6,0,5,49,20,1,15,2,14,2,7,4,1,4,2,15,2,11,9,10,7,0,3,8,2,2,0,5,2
01/06/22,12,5,32,7,42,12,74,2,11,0,20,13,17,70,4,0,9,5,0,5,47,19,1,14,1,14,1,11,4,0,5,0,10,0,11,7,14,10,0,1,8,3,0,0,4,2
01/06/22,11,9,27,10,35,19,62,2,9,0,15,10,18,77,4,1,8,3,0,5,48,18,2,14,2,16,0,14,7,0,4,0,15,0,12,8,13,9,0,2,8,2,0,0,5,4
01/06/22,10,3,18,4,25,7,43,1,7,1,12,8,18,76,2,1,8,1,0,5,51,17,2,16,2,18,0,16,6,0,3,0,13,0,8,6,6,3,0,0,10,2,0,0,5,4
01/06/22,9,2,15,9,21,11,36,2,6,0,12,8,18,73,1,0,7,0,0,5,52,18,1,16,0,18,1,16,6,0,2,0,10,0,7,2,8,5,0,5,8,2,2,0,5,4
01/06/22,8,5,13,5,12,10,25,2,4,0,12,8,18,73,2,1,6,0,0,4,50,17,0,17,0,16,0,17,5,0,2,0,12,2,7,5,8,8,0,2,8,1,0,0,5,4
01/06/22,7,1,8,1,7,2,15,0,2,0,11,8,17,72,1,0,6,0,0,5,49,17,0,18,0,14,0,15,6,0,1,0,12,2,7,2,3,2,0,0,9,1,0,1,5,4
01/06/22,6,0,7,0,6,0,13,0,2,0,9,7,16,73,4,0,6,0,0,4,50,18,0,18,0,14,0,14,7,0,1,0,10,3,6,1,5,4,0,0,8,1,1,3,5,4
01/06/22,5,2,7,2,6,4,13,1,2,0,9,5,17,75,6,0,6,0,0,3,50,18,1,16,0,16,0,16,6,0,1,0,11,3,5,1,4,3,0,3,5,1,0,2,5,4
01/06/22,4,0,5,0,4,0,9,0,1,0,8,5,17,77,7,4,3,0,0,3,51,17,0,17,0,17,0,18,7,0,1,0,11,4,4,1,6,6,0,2,2,1,0,2,5,4
01/06/22,3,3,5,0,4,3,9,0,1,0,7,5,16,80,10,7,3,0,0,4,49,16,0,17,1,16,0,15,5,2,0,0,12,8,3,1,12,12,0,2,2,1,0,1,5,4
01/06/22,2,2,2,1,4,3,6,1,1,0,5,5,14,81,8,8,0,0,0,5,49,16,1,16,2,17,0,13,4,2,1,0,14,10,3,1,13,13,0,3,2,1,0,1,5,4
01/06/22,1,0,0,3,3,3,3,0,0,0,3,1,16,84,9,9,0,0,0,4,48,16,1,16,2,16,0,8,2,3,1,0,18,11,3,4,13,12,0,6,0,1,0,2,5,4
01/05/22,24,5,131,2,89,7,220,4,38,0,39,35,12,90,10,10,14,2,0,4,50,15,0,17,2,18,1,9,1,3,1,0,21,11,5,5,11,10,0,4,0,1,0,2,5,3
01/05/22,23,0,126,3,87,3,213,0,34,0,33,34,8,89,7,7,14,2,0,4,51,16,1,17,3,18,1,7,3,0,2,0,22,13,5,4,9,8,0,4,0,1,0,1,5,2
01/05/22,22,13,126,3,84,16,210,6,34,0,31,33,7,92,7,7,12,2,0,5,52,17,1,18,4,17,1,6,1,1,1,0,23,13,5,2,11,7,0,6,1,0,0,1,5,1
01/05/22,21,7,113,1,81,8,194,2,28,0,31,31,9,85,5,5,11,2,0,5,53,16,1,18,2,19,2,6,1,3,5,0,18,6,6,3,10,9,0,9,2,0,1,1,4,1
01/05/22,20,7,106,3,80,10,186,3,26,0,28,28,11,87,5,4,11,2,0,5,55,19,2,18,2,18,2,4,1,3,2,0,15,4,4,4,11,10,0,10,1,0,1,1,7,2
01/05/22,19,6,99,6,77,12,176,0,23,0,26,26,11,81,6,5,10,2,0,6,50,19,3,15,2,16,2,6,0,5,5,0,14,4,4,3,9,9,0,11,0,0,1,0,5,2
01/05/22,18,10,93,8,71,18,164,2,23,1,26,25,12,81,13,13,10,2,0,5,45,16,0,15,1,14,0,3,0,3,3,0,12,2,6,1,10,9,0,8,0,0,1,2,6,3
01/05/22,17,13,83,4,63,17,146,5,21,0,24,21,15,81,8,8,9,2,0,5,48,17,1,16,2,15,1,4,0,2,1,0,12,4,3,3,8,6,0,11,0,0,2,1,8,4
01/05/22,16,5,70,10,59,15,129,3,16,3,24,19,17,70,3,3,9,1,0,4,50,19,4,16,1,15,1,2,0,2,3,0,8,2,2,3,8,6,0,11,1,0,1,2,5,4
01/05/22,15,12,65,6,49,18,114,2,13,0,24,16,21,72,3,3,7,1,0,5,52,21,4,16,2,15,2,5,0,4,4,0,8,1,3,3,6,4,0,6,0,0,2,2,4,4
01/05/22,14,7,53,7,43,14,96,0,11,2,23,17,19,72,4,4,7,1,0,4,53,20,2,17,3,16,2,7,0,5,3,0,8,0,5,4,6,1,0,8,2,0,1,1,3,3
01/05/22,13,4,46,9,36,13,82,2,11,2,22,16,18,68,2,2,6,1,1,4,50,19,3,17,3,14,0,8,0,4,2,0,9,0,5,3,6,3,0,7,2,0,0,0,3,3
01/05/22,12,10,42,6,27,16,69,2,9,1,20,11,22,64,3,3,6,0,1,3,46,18,3,16,2,12,0,9,0,4,4,0,9,0,4,3,6,3,0,4,1,0,0,0,3,2
01/05/22,11,11,32,5,21,16,53,4,7,1,19,11,21,56,0,0,6,0,0,5,41,16,1,14,3,11,0,11,1,3,3,0,7,0,3,2,5,4,0,2,1,0,0,0,3,2
01/05/22,10,4,21,8,16,12,37,0,3,1,18,12,19,48,0,0,4,0,0,3,37,15,1,12,1,10,0,11,2,1,1,0,5,0,3,3,4,3,0,3,0,0,1,0,3,2
01/05/22,9,6,17,4,8,10,25,2,3,0,16,8,21,43,0,0,2,0,0,3,33,14,2,9,0,10,0,12,1,1,1,0,3,0,2,1,1,0,0,1,0,0,1,1,4,3
01/05/22,8,3,11,1,4,4,15,0,1,0,10,8,15,43,0,0,0,0,0,3,31,12,1,9,0,10,0,11,1,0,1,0,5,1,3,0,2,2,0,0,1,0,1,0,4,3
01/05/22,7,1,8,1,3,2,11,0,1,0,10,8,15,41,0,0,0,0,0,2,31,12,1,10,0,9,0,7,1,0,1,0,4,0,3,0,1,0,0,0,1,0,1,0,4,3
01/05/22,6,2,7,0,2,2,9,0,1,0,8,8,13,40,0,0,0,0,0,2,30,11,0,12,0,7,0,4,2,0,2,0,4,0,4,0,1,1,0,1,0,0,1,0,4,3
01/05/22,5,1,5,1,2,2,7,1,1,0,6,8,11,41,0,0,0,0,0,2,33,12,0,13,0,8,0,6,1,0,2,0,2,0,1,3,0,0,0,1,0,0,0,0,4,3
01/05/22,4,0,4,0,1,0,5,0,0,0,5,5,12,44,0,0,0,0,0,2,36,13,0,13,0,10,0,9,0,1,2,0,3,0,1,1,4,0,0,1,0,0,0,1,3,3
01/05/22,3,0,4,0,1,0,5,0,0,0,4,4,13,46,0,0,0,0,0,5,35,12,0,12,0,11,1,9,0,3,3,0,3,0,1,2,5,3,0,1,0,0,0,0,3,3
01/05/22,2,2,4,0,1,2,5,0,0,0,2,3,12,53,0,0,0,0,0,6,41,17,0,12,0,12,1,8,0,2,3,0,3,0,1,2,5,4,0,4,1,0,0,0,3,3
01/05/22,1,2,2,1,1,3,3,0,0,0,2,1,14,59,0,0,0,0,0,7,44,18,0,13,2,13,1,8,0,1,2,0,4,1,1,5,7,7,0,4,2,0,0,0,4,4
01/04/22,24,3,112,1,98,4,210,1,32,0,36,31,13,59,0,0,6,12,0,7,45,19,2,14,2,12,1,5,0,0,2,0,3,1,1,3,8,7,0,6,1,0,0,0,4,4
01/04/22,23,2,109,2,97,4,206,1,31,1,35,30,13,62,0,0,5,12,0,7,45,18,3,15,3,12,1,5,0,0,0,0,6,1,1,2,11,6,0,5,0,0,1,1,4,3
01/04/22,22,5,107,4,95,9,202,1,30,1,34,29,13,72,4,4,5,12,0,6,51,18,4,17,3,16,2,5,0,0,2,0,6,1,2,1,12,6,0,3,1,0,1,0,5,3
01/04/22,21,9,102,2,91,11,193,1,29,0,34,26,16,70,3,3,5,12,0,6,46,17,6,17,4,12,1,4,0,3,2,0,9,2,3,3,13,8,0,3,0,0,1,0,6,4
01/04/22,20,7,93,4,89,11,182,3,28,0,33,23,18,70,1,1,5,12,0,5,48,17,3,17,2,14,0,2,0,2,2,0,11,2,3,4,13,8,0,6,0,0,2,1,5,3
01/04/22,19,8,86,5,85,13,171,4,25,3,31,20,20,68,1,1,5,12,0,4,48,17,5,16,2,15,1,2,0,2,1,0,11,3,3,4,11,7,0,4,0,0,2,1,4,3
