Date,Time,Stretcher Pts hrly,Stretcher Pts cum,Ambulatory Pts hrly,Ambulatory Pts cum,Total Inflow hrly,Total Inflow cum,Ambulances hrly,Ambulances cum,FLS hrly,Adm. requests cum,Admissions cum,Pts.waiting for admission CUM,Total Stretcher pts,Triage hallway pts,Triage hallway pts TBS,Re-Oriented Nurse cum,Re-Oriented MD QTrack D/C,Re-Oriented MD QTrack NotD/C,Resus Pts,Totalpts in PODs except Psych,Green Pts,Green Pts TBS,Yellow PTS,Yellow Pts TBS,Orancge Pts except psych,Orange Pts TBS,Consults > 2h in PODS except IM,Consult for IM >4h in PODS,Plain films reqs > 2 h in PODs,CTs reqs > 2 h in PODs,Post POD (Family room),Stretcher Pts in Vertical,Stretcher Pts TBS in Vertical,Stretcher Pts in Vertical on Lazyboy,Vertical Pts Waiting for Results,Ambulatory Pts in Vertical,Ambulatory Pts TBS in Vertical,QTrack Patients TBS,GARAGE patient TBS,Consults > 2h in Vertical Except IM,Consult for IM >4h in Vertical,Plain films reqs > 2 hr in Vertical,CTs reqs > 2 hrs in Vertical,Psych Stretcher Pts1pt,Psych pts waiting for admission,ds,Total Pod TBS,Total Vertical TBS,Stretcher Overflow
04/14/23,10,9,43,7,22,16,65,1,13,0,3,2,31,99,0,0,6,0,2,5,47,18,2,15,0,14,2,13,0,0,0,13,16,2,6,3,20,16,1,0,13,4,0,2,18,12,2023-04-14 10:00:00,4,19,13
04/14/23,11,11,54,5,27,16,81,2,15,1,6,2,34,110,0,0,7,0,1,4,48,18,3,16,1,14,1,10,0,0,1,12,27,7,7,5,16,9,1,0,13,3,0,2,19,12,2023-04-14 11:00:00,5,17,12
04/14/23,12,14,68,4,31,18,99,3,18,0,7,3,32,114,0,0,8,2,6,6,52,20,4,16,1,16,2,11,3,0,2,11,24,6,6,5,15,8,4,0,10,2,0,2,21,12,2023-04-14 12:00:00,7,18,11
04/14/23,13,8,76,6,37,14,113,0,18,0,10,4,34,118,2,2,10,3,7,6,52,20,1,16,1,16,2,14,3,0,3,11,26,4,8,5,16,9,4,0,9,2,0,4,21,13,2023-04-14 13:00:00,6,17,13
04/14/23,14,16,92,9,46,25,138,3,21,0,13,7,31,122,7,6,14,4,6,6,47,17,0,16,0,14,1,13,2,2,2,12,31,8,9,7,17,9,4,0,6,1,0,3,19,11,2023-04-14 14:00:00,7,21,18
04/14/23,15,11,103,4,50,15,153,2,23,0,16,9,33,122,3,1,14,5,11,6,49,19,0,16,0,14,2,12,1,1,1,13,27,4,11,6,17,11,7,0,5,0,0,5,24,13,2023-04-14 15:00:00,3,22,14
04/14/23,16,7,110,9,59,16,169,0,23,0,24,11,37,117,3,2,16,6,15,5,45,18,1,14,0,13,2,8,0,0,0,11,30,11,9,4,8,6,10,0,3,0,0,3,23,14,2023-04-14 16:00:00,5,27,13
04/14/23,18,10,125,4,72,14,197,4,29,0,28,16,35,110,2,2,16,10,12,4,50,18,3,16,0,16,2,7,0,0,2,5,28,10,6,6,10,9,7,0,2,0,0,2,21,13,2023-04-14 18:00:00,7,26,7
04/14/23,19,6,131,6,78,12,209,2,31,0,31,18,36,105,0,0,16,10,9,5,52,19,2,17,1,16,2,8,0,3,1,3,25,7,6,3,15,14,7,0,2,0,0,4,20,14,2023-04-14 19:00:00,5,28,3
04/14/23,20,7,138,6,84,13,222,3,34,0,34,20,35,98,0,0,16,10,8,5,48,17,1,14,1,17,2,6,0,1,2,3,23,6,6,4,19,18,3,0,4,0,0,5,19,13,2023-04-14 20:00:00,4,27,3
04/14/23,21,11,149,4,88,15,237,5,39,0,37,21,38,105,0,0,16,10,5,6,50,18,2,15,2,17,0,4,2,0,3,3,25,8,5,4,23,21,2,0,5,0,0,2,21,14,2023-04-14 21:00:00,4,31,3
04/14/23,22,7,156,6,94,13,250,1,40,0,40,24,38,102,2,2,20,10,5,5,49,19,1,16,1,14,0,4,1,1,1,3,22,7,5,5,22,18,2,0,4,0,0,2,21,14,2023-04-14 22:00:00,4,27,5
04/14/23,23,8,164,4,98,12,262,3,43,1,42,25,39,96,2,2,22,10,2,4,50,19,1,16,0,15,1,5,1,1,2,1,18,6,6,6,25,19,0,0,5,0,0,2,21,16,2023-04-14 23:00:00,4,25,3
04/14/23,24,3,167,2,100,5,267,2,45,0,44,25,41,102,0,0,22,10,1,5,54,21,3,16,0,17,3,7,1,1,2,0,21,5,8,0,24,20,0,0,2,0,3,3,22,16,2023-04-15 00:00:00,6,25,0
04/15/23,2,2,6,0,2,2,8,1,3,0,3,4,41,96,0,0,1,0,0,4,54,19,0,17,1,18,2,7,4,1,1,1,15,8,6,0,20,20,0,0,3,0,0,2,22,17,2023-04-15 02:00:00,3,28,1
04/15/23,3,1,7,0,2,1,9,1,4,0,5,5,42,97,0,0,1,0,0,4,54,19,0,17,0,18,2,8,2,1,1,1,16,7,5,7,15,15,0,0,4,0,0,2,22,17,2023-04-15 03:00:00,2,22,1
04/15/23,4,2,9,3,5,5,14,1,5,0,5,5,42,94,0,0,1,0,0,4,53,20,2,16,0,17,1,12,3,1,1,0,15,5,6,7,19,18,0,0,4,1,0,1,22,17,2023-04-15 04:00:00,3,23,0
04/15/23,5,0,9,1,6,1,15,0,5,0,5,5,42,94,0,0,1,0,0,4,52,20,0,16,0,16,0,12,4,1,1,0,16,4,6,10,18,18,0,0,2,1,0,1,22,17,2023-04-15 05:00:00,0,22,0
04/15/23,6,2,11,0,6,2,17,0,5,0,5,5,42,91,0,0,1,0,0,4,50,19,0,16,0,15,0,12,4,1,1,0,16,3,6,7,16,14,0,0,2,1,0,0,21,17,2023-04-15 06:00:00,0,17,0
04/15/23,7,2,13,2,8,4,21,0,5,0,5,5,42,88,0,0,1,0,0,4,50,20,1,15,0,15,0,13,4,0,1,0,13,2,6,5,17,17,0,0,2,1,0,0,21,17,2023-04-15 07:00:00,1,19,0
04/15/23,8,4,17,4,12,8,29,1,6,0,6,6,42,95,0,0,1,0,0,6,46,19,1,13,0,14,1,11,2,0,1,3,19,10,5,5,13,13,0,0,2,0,0,0,21,17,2023-04-15 08:00:00,2,23,3
04/15/23,9,6,23,5,17,11,40,2,8,0,6,6,42,93,0,0,2,0,3,6,47,19,1,14,1,14,0,10,2,0,0,4,15,3,4,4,8,3,3,0,4,0,0,0,21,17,2023-04-15 09:00:00,2,9,4
04/15/23,10,4,27,7,24,11,51,1,9,0,8,6,42,89,0,0,3,0,2,5,49,21,2,14,0,14,0,8,2,0,0,2,10,0,6,2,10,4,1,0,3,0,0,0,23,17,2023-04-15 10:00:00,2,5,2
04/15/23,11,7,34,10,34,17,68,1,10,0,10,7,42,90,0,0,5,0,3,3,46,18,0,13,1,15,1,10,2,0,1,3,14,1,7,5,12,6,1,0,4,0,1,0,24,17,2023-04-15 11:00:00,2,8,3
04/15/23,12,9,43,8,42,17,85,3,13,0,13,8,43,90,0,0,7,0,3,4,46,14,1,15,2,17,1,7,2,0,0,3,13,1,7,7,14,8,0,0,8,0,0,2,24,16,2023-04-15 12:00:00,4,9,3
04/15/23,13,7,50,9,51,16,101,1,14,0,15,8,45,98,0,0,8,0,2,5,47,17,1,15,2,15,1,2,1,1,0,4,18,3,9,6,16,12,1,0,10,0,0,3,24,16,2023-04-15 13:00:00,4,16,4
04/15/23,14,10,61,7,57,17,118,4,18,0,19,9,48,100,0,0,8,0,3,5,49,18,1,16,2,15,1,2,1,0,0,4,17,5,7,5,22,11,2,0,11,0,0,2,25,17,2023-04-15 14:00:00,4,18,4
04/15/23,15,7,68,8,65,15,133,1,19,0,22,10,47,97,0,0,8,0,4,4,50,19,2,15,0,16,1,7,0,0,1,5,17,4,6,4,22,15,3,0,6,0,0,7,21,15,2023-04-15 15:00:00,3,22,5
04/15/23,16,9,76,4,70,13,146,3,22,0,24,11,46,104,0,0,8,0,3,5,53,20,3,16,1,17,1,6,1,0,3,6,20,11,5,5,19,16,3,0,6,0,0,2,20,14,2023-04-15 16:00:00,5,30,6
04/15/23,17,5,81,3,73,8,154,0,22,0,26,12,47,100,0,0,8,0,3,5,53,19,2,17,1,17,0,4,0,1,3,4,20,6,6,6,22,16,1,0,4,1,1,2,18,16,2023-04-15 17:00:00,3,23,4
04/15/23,18,8,89,3,76,11,165,2,24,0,30,15,46,107,3,3,9,0,3,6,55,21,2,17,0,17,0,7,0,1,6,3,22,10,5,8,18,11,1,0,3,1,1,2,18,17,2023-04-15 18:00:00,5,22,6
04/15/23,19,4,93,3,79,7,172,1,25,0,35,18,46,108,4,2,9,0,2,7,54,20,1,16,0,18,0,6,1,0,10,3,22,11,4,9,19,12,1,0,4,1,1,3,18,17,2023-04-15 19:00:00,3,24,5
04/15/23,20,8,101,6,85,14,186,2,27,0,37,20,46,109,4,4,10,0,2,6,54,20,1,17,2,17,1,4,1,0,9,2,23,10,5,5,20,16,0,0,3,1,0,3,20,18,2023-04-15 20:00:00,8,26,6
04/15/23,21,3,104,3,88,6,192,1,28,0,41,21,49,100,0,0,12,0,1,6,54,21,2,16,2,17,2,3,0,0,1,0,20,11,5,2,21,16,0,0,1,1,0,6,20,18,2023-04-15 21:00:00,6,27,0
04/15/23,22,4,108,6,94,10,202,2,30,0,41,23,46,97,1,1,13,0,2,5,53,21,1,15,2,17,3,8,0,2,1,0,18,9,5,4,19,13,1,0,3,0,0,6,20,17,2023-04-15 22:00:00,7,23,1
04/15/23,23,5,113,3,97,8,210,2,32,0,44,24,46,90,1,1,14,0,2,3,51,20,2,14,1,17,2,9,0,3,1,0,15,4,6,3,18,14,1,0,0,0,0,4,20,19,2023-04-15 23:00:00,6,19,1
04/15/23,24,6,119,1,98,7,217,3,35,0,44,26,45,88,0,0,14,0,2,3,51,19,2,15,2,17,0,11,0,2,1,0,14,4,6,8,18,16,1,0,1,0,0,3,20,19,2023-04-16 00:00:00,4,21,0
04/16/23,1,6,6,2,2,8,8,4,4,0,0,0,45,87,0,0,0,0,1,3,53,19,2,17,4,17,0,10,0,3,2,0,11,4,4,4,23,22,1,0,2,0,0,3,20,19,2023-04-16 01:00:00,6,27,0
04/16/23,2,1,7,1,3,2,10,0,4,0,0,1,44,88,0,0,0,0,1,3,52,19,1,17,2,16,0,11,0,4,4,0,13,4,5,4,22,22,1,0,3,0,0,2,20,19,2023-04-16 02:00:00,3,27,0
04/16/23,3,1,8,2,5,3,13,0,4,0,0,3,42,88,0,0,0,0,0,3,51,18,0,17,1,16,0,12,0,4,8,0,13,3,5,3,17,17,0,0,3,0,0,2,21,19,2023-04-16 03:00:00,1,20,0
04/16/23,4,3,10,2,8,5,18,0,4,0,0,3,42,87,0,0,0,0,0,3,50,18,1,16,0,16,0,13,2,1,5,0,13,2,5,3,21,20,0,0,3,1,0,2,21,19,2023-04-16 04:00:00,1,22,0
04/16/23,5,4,14,0,8,4,22,2,6,0,1,3,43,90,0,0,0,0,0,4,52,19,1,17,0,16,0,14,2,1,2,0,14,2,5,9,17,15,0,0,3,0,0,1,20,19,2023-04-16 05:00:00,1,17,0
